icon_id,source_set,source_png_path,source_filename,source_type,atlas_region_rect,width,height,visible_bbox,transparent_percentage,quality_classification,primary_category,recommended_uses,recommended_ui_control,recommended_dock_asset_type,recommended_world_container,recommended_default_world_scale,recommended_z_index_role,notes,warnings
pvg_icon_cyber_city_icons_cyber_container_1_e472cf1f,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_1.png,Container_1.png,individual_png,,512,512,"[48, 22, 429, 474]",43.739,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_10_9671d104,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_10.png,Container_10.png,individual_png,,512,512,"[10, 99, 504, 437]",60.609,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_11_724b168c,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_11.png,Container_11.png,individual_png,,512,512,"[38, 57, 479, 481]",45.805,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_12_a0749085,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_12.png,Container_12.png,individual_png,,512,512,"[28, 33, 490, 487]",40.27,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_13_c3ae598a,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_13.png,Container_13.png,individual_png,,512,512,"[11, 101, 491, 429]",55.9,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_14_7f9857d3,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_14.png,Container_14.png,individual_png,,512,512,"[95, 18, 425, 508]",46.711,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_15_891425a8,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_15.png,Container_15.png,individual_png,,512,512,"[10, 70, 504, 440]",41.784,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_16_901c871a,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_16.png,Container_16.png,individual_png,,512,512,"[7, 64, 501, 473]",39.481,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_17_96df2622,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_17.png,Container_17.png,individual_png,,512,512,"[7, 75, 505, 443]",39.462,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_18_2b6effda,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_18.png,Container_18.png,individual_png,,512,512,"[3, 84, 509, 483]",36.656,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_19_7739f9a6,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_19.png,Container_19.png,individual_png,,512,512,"[1, 59, 509, 455]",36.539,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_2_cf117747,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_2.png,Container_2.png,individual_png,,512,512,"[60, 4, 472, 503]",33.201,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
pvg_icon_cyber_city_icons_cyber_container_20_34434429,cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Container_20.png,Container_20.png,individual_png,,512,512,"[7, 70, 510, 455]",36.071,READY_BOTH,cyber,"[""scheme_card"", ""screen_graphic"", ""world_decal""]",TextureRect,icon_both,OccludableIcons,0.5,90,"Iconography asset; use for UI, badges, decals, signage, screen graphics, or markers.",
