asset_id,path,filename,catalog_category,catalog_subcategory,width,height,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,candidate_pools,file_exists,reason_included
pvg_door_window_doorgarage3_4_e707d383,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage3_4.png,DoorGarage3_4.png,DOOR_WINDOW,door_window,31,178,25,177,57.25,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage3_5_4a2f373e,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage3_5.png,DoorGarage3_5.png,DOOR_WINDOW,door_window,76,166,73,165,43.74,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage3_6_382630c8,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage3_6.png,DoorGarage3_6.png,DOOR_WINDOW,door_window,76,167,72,165,44.88,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage3_7_5b9e813b,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage3_7.png,DoorGarage3_7.png,DOOR_WINDOW,door_window,77,173,73,171,42.75,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage3_8_2383119c,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage3_8.png,DoorGarage3_8.png,DOOR_WINDOW,door_window,79,172,73,171,43.2,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_1_16dc52df,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_1.png,DoorGarage4_1.png,DOOR_WINDOW,door_window,124,173,114,169,29.56,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_2_f8217663,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_2.png,DoorGarage4_2.png,DOOR_WINDOW,door_window,45,241,37,239,56.77,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_3_33e171f5,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_3.png,DoorGarage4_3.png,DOOR_WINDOW,door_window,120,189,114,185,23.88,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_4_dfa30747,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_4.png,DoorGarage4_4.png,DOOR_WINDOW,door_window,43,244,37,239,53.66,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
pvg_door_window_doorgarage4_5_372d4bb1,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/DoorGarage4_5.png,DoorGarage4_5.png,DOOR_WINDOW,door_window,114,221,105,219,51.89,"[""B_HIGH_VALUE_PAINT""]",True,B_HIGH_VALUE_PAINT
