asset_id,path,filename,parent_folder,top_level_pack_folder,pack,width,height,aspect_ratio,has_alpha,alpha_bbox_min_x,alpha_bbox_min_y,alpha_bbox_max_x,alpha_bbox_max_y,alpha_bbox_width,alpha_bbox_height,alpha_bbox_aspect_ratio,transparent_pixel_percentage,coverage_percentage,corner_transparency_pattern,filename_keyword_tags,inferred_category,inferred_subcategory,confidence_score,recommended_placement_method,recommended_target_layer,recommended_z_index,recommended_snap_mode,recommended_use_hideout,recommended_use_taco_bell,candidate_tilemap_layer,candidate_sprite2d_stamping,likely_floor,likely_wall,likely_prop,likely_tall_foreground,likely_lighting_neon,likely_character_asset,likely_ui_avoid,birthday_build_candidate,notes
pvg_clutter_small_acunit3_5_bc78d14b,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_5.png,ACUnit3_5.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,62,69,0.8986,True,4,0,60,67,57,68,0.8382,43.76,56.24,"{""top_left"": 1.0, ""top_right"": 0.5641, ""bottom_left"": 0.5513, ""bottom_right"": 1.0}","[""5"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_6_de679415,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_6.png,ACUnit3_6.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,63,69,0.913,True,4,0,61,67,58,68,0.8529,44.54,55.46,"{""top_left"": 0.75, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.4295}","[""6"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_7_acca880d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_7.png,ACUnit3_7.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,61,78,0.7821,True,4,1,60,76,57,76,0.75,46.15,53.85,"{""top_left"": 0.7667, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.9111}","[""7"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit3_8_760223d1,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit3_8.png,ACUnit3_8.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,62,78,0.7949,True,4,1,61,76,58,76,0.7632,47.11,52.89,"{""top_left"": 1.0, ""top_right"": 0.5889, ""bottom_left"": 0.9944, ""bottom_right"": 1.0}","[""8"", ""acunit3""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_1_6b029e69,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_1.png,ACUnit4_1.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,43,47,0.9149,True,1,2,40,45,40,44,0.9091,25.14,74.86,"{""top_left"": 0.6111, ""top_right"": 0.7222, ""bottom_left"": 0.3056, ""bottom_right"": 0.4583}","[""1"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_2_4e51558d,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_2.png,ACUnit4_2.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,24,65,0.3692,True,1,2,21,63,21,62,0.3387,27.82,72.18,"{""top_left"": 0.5769, ""top_right"": 0.5769, ""bottom_left"": 0.3077, ""bottom_right"": 0.8654}","[""2"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_3_7973511f,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_3.png,ACUnit4_3.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,43,56,0.7679,True,1,2,40,54,40,53,0.7547,33.26,66.74,"{""top_left"": 0.4886, ""top_right"": 0.7955, ""bottom_left"": 0.5568, ""bottom_right"": 0.7841}","[""3"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_4_91f90489,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_4.png,ACUnit4_4.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,24,65,0.3692,True,1,2,21,63,21,62,0.3387,27.76,72.24,"{""top_left"": 0.3846, ""top_right"": 0.7885, ""bottom_left"": 0.7692, ""bottom_right"": 0.5385}","[""4"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_5_5a29c1cb,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_5.png,ACUnit4_5.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,44,58,0.7586,True,1,1,40,56,40,56,0.7143,36.72,63.28,"{""top_left"": 1.0, ""top_right"": 0.875, ""bottom_left"": 0.5114, ""bottom_right"": 1.0}","[""5"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
pvg_clutter_small_acunit4_6_75fa71de,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_1/CyberCity_Core_Tiles_1/ACUnit4_6.png,ACUnit4_6.png,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,CyberCity_Core_Tiles_1,43,57,0.7544,True,1,0,40,55,40,56,0.7143,35.05,64.95,"{""top_left"": 0.75, ""top_right"": 1.0, ""bottom_left"": 1.0, ""bottom_right"": 0.5}","[""6"", ""acunit4""]",CLUTTER_SMALL,industrial_prop,0.68,Sprite2D,DecorationLayer,-65,free_visual,maybe,yes,False,True,False,False,True,False,False,False,False,True,Measurement and filename agree enough for initial art-library use.
